"gutenberg_id","medium","language","title","sort_title","audience","subjects__audience","subjects__identifier","subjects__type","authors__family_name","authors__viaf","authors__display_name","authors__lc","authors__sort_name","authors__wikipedia_name","quality","work_id","subjects__name","fiction","subjects__fiction"
"","","","","","","","Hiawatha, active 15th century -- Poetry","LCSH","","","","","","","","","","",""
"","","","","","","Adult","PS","LCC","","","","","","","","","American literature","","True"
"","","","","","","","Indians of North America -- Poetry","LCSH","","","","","","","","","","",""
"","","","","","","","Iroquois Indians -- Kings and rulers -- Poetry","LCSH","","","","","","","","","","",""
"20","Book","en","Paradise Lost","null","Adult","Adult","Banned Books from Anne Haight's list","gutenberg:bookshelf","Milton","17226855","John Milton","n78095532","Milton, John","John_Milton","0.48","d8124433-8f18-31d9-91eb-daf2e8b17ec6","","",""
"","","","","","","Adult","Poetry","gutenberg:bookshelf","","","","","","","","","","",""
"","","","","","","","Adam (Biblical figure) -- Poetry","LCSH","","","","","","","","","","",""
"","","","","","","Adult","PR","LCC","","","","","","","","","English literature","","True"
"","","","","","","","Fall of man -- Poetry","LCSH","","","","","","","","","","",""
"","","","","","","","Eve (Biblical figure) -- Poetry","LCSH","","","","","","","","","","",""
"","","","","","","","Bible. Genesis -- History of Biblical events -- Poetry","LCSH","","","","","","","","","","",""
